a	A		sumti or		logical connective: sumti afterthought or
senpi		sen	doubt	'skeptic'	x1 doubts/is dubious/doubtful/skeptical/questions that x2 (du'u) is true	[also: x2 is doubtful/dubious/questionable (= selsenpi for reordered places)]; (cf. jinvi, krici, djuno, birti)
senta		set	layer	'stratum'	x1 is a layer/stratum [shape/form] of x2 [material] within structure/continuum/composite x3	(cf. flecu, nenri, rirxe, sepli, snuji, jbini, bitmu, sruri, serti)
senva		sev sne	dream	'reverie'	x1 dreams about/that x2 (fact/idea/event/state); x2 is a dream/reverie of x1	[dream/reverie (= selsne)]; (cf. sipna, xanri)
sepa'a	BAI*		similar to		panra modal, 2nd place                            similarly; similar to ...
sepa'u	BAI*		as a part of		pagbu modal, 2nd place (whole)                    partially; as a part of ...
sepi'o	BAI*		using tool		pilno modal, 2nd place (instrumental) tool/machine/apparatus/acting entity;  using (tool) ...
sepli		sep sei	apart	'separate'	x1 is apart/separate from x2, separated by partition/wall/gap/interval/separating medium x3	[also aloof (= jiksei); alone (= rolsmisei meaning apart or unlike all others of its kind; pavysei, seirpavmei meaning "only" or "one alone" - do not use when talking about, for example, two people who are alone); x3 space]; (cf. bitmu, snuji, senta, fendi, curve, jinsa, bitmu, marbi)
sepo'i	BAI*		sequenced by rules		porsi modal, 2nd place                            sequentially; sequenced by rules ...
sepu'a	BAI*		in order to please		pluka modal, 2nd place (for)                   pleasingly; pleasing ...; in order to please ...
sepu'e	BAI*		processing from		pruce modal, 2nd place (inputs)                   processing from inputs ...
sera'a	BAI*		concerning		srana modal, 2nd place (pertaining to)            relevantly; concerning ... (less specific)
sera'i	BAI*		as an origin of		krasi modal, 2nd place                            originally; as an origin/starting point of ...
serai	BAI*		superlative in		traji modal, 2nd place (property)                 -est; most extremely; superlative in ...
seri'a	BAI*		causal therefore		rinka modal, 2nd place (phys./mental)             causal therefore ...
seri'anai	BAI*		causal nevertheless		rinka modal, 2nd place (phys./mental)             causal nevertheless ...
seri'i	BAI*		experiencing		lifri modal, 2nd place                            experiencing ...; undergoing ...
serti		ser	stairs		x1 are stairs/stairway/steps for climbing structure x2 with steps x3	(cf. stapa, loldi, senta)
sesau	BAI*		necessary for		sarcu modal, 2nd place (process)                  necessarily; necessary for ...
sesi'u	BAI*		assisting		sidju modal, 2nd place                            assisting ... (in doing/maintaining something)
seta'i	BAI*		as a method for		tadji modal, 2nd place                            methodically; as a method for doing ...
setai	BAI*		as a form of		tamsmi modal, 2nd place                           similarly; resembling ... (in ideal form)	(x1 resembles x2 sharing ideal form/shape x3 in property x4)
setca		se'a	insert		x1 (agent) inserts/interposes/puts/deposits x2 into interior x3/into among/between members of x3	[insertion need not imply a significant degree of 'filling'; inject (= je'erse'a); syringe/needle (= se'arterje'e, je'erse'atci, jestu'u or tu'urjesni); also pour, inflate, stuff, fill]; (cf. rinci, tisna, punji, jbini, nenri, jmina, culno, kunti, catlu)
seti'i	BAI*		suggesting		stidi modal, 2nd place                            suggestively; suggesting (idea/action) ...
seti'u	BAI*		at the same time as		tcika modal, 2nd place (for letters)              at the same time as ... ; label with event
setu'i	BAI*		as a location of		stuzi modal, 2nd place                            as a location of ...
seva'o	BAI*		as conditions for		vanbi modal, 2nd place (environment)              as conditions/environment of/for ...
seva'u	BAI*		with beneficiary		xamgu modal, 2nd place beneficiary case tag       for the benefit of...; with beneficiary ...
sevzi		sez se'i	self		x1 is a self/ego/id/identity-image of x2	(cf. cmavo list mi, prenu, menli, jgira)
sezau	BAI*		approving		zanru modal, 2nd place                            approvingly; approving ...
sezu'e	BAI*		goalfully acting at		zukte modal, 2nd place                            purposefully; goalfully acting at ...
sfani			fly		x1 is a fly [a small non-stinging flying insect] of species/breed x2	(cf. cinki, bifce)
sfasa		sfa	punish	'spank, castigate'	x1 (agent) punishes x2 for infraction x3 (event/state/action) with punishment x4 (event/state)	[also chastise, castigate, chasten, discipline, correct (one sense); also x4 penalty]; (cf. cnemu, pleji, venfu, zekri, canja, dunda, jdima, jerna, kargu, prali, dapma, cirko, jinga)
sfofa		sfo	sofa		x1 is a sofa/couch (noun)	(cf. nilce)
sfubu		sub su'u	dive	'swoop'	x1 dives/swoops [manner of controlled falling] to x2 from x3	(cf. farlu, farlu)
si	SI		erase word		erase the last Lojban word, treating non-Lojban text as a single word
si'a	UI3b		similarly		discursive: similarly	(cf. simsa, panra)
si'e	MOI		portion selbri		convert number to portion selbri; x1 is an (n)th portion of mass/totality x2; (cf. gunma)
si'i	VUhU4		sigma summation		trinary mathematical operator: [sigma summation of a using variable b over range c]
si'o	NU	siz	concept abstract		abstractor: idea/concept abstractor; x1 is x2's concept of [bridi]	(cf. sidbo)
si'u	BAI		aided by		sidju modal, 1st place (aiding agent)             aided by ...
siclu		sil	whistle		x1 [sound source] whistles/makes whistling sound/note/tone/melody x2	(cf. sance, tonga, sanga, zgike, savru)
sicni		si'i	coin	'specie'	x1 is a coin/token/is specie issued by x2 having value x3 of composition including x4	(cf. fepni, jdini, rupnu)
sidbo		sib si'o	idea		x1 (idea abstract) is an idea/concept/thought about x2 (object/abstract) by thinker x3	[also (adjective:) x1 is ideal/ideational]; (cf. ciksi, jijnu, mucti, jinvi, nabmi, pensi, xanri, cmavo list si'o)
sidju		dju	help	'aid'	x1 helps/assists/aids object/person x2 do/achieve/maintain event/activity x3	(cf. cmavo list si'u, rirni, sarji, vipsi, ferti, selfu)
sigja		sig	cigar		x1 is a cigar/cigarette/cigarillo made from tobacco/smokable substance x2 by x3	(cf. danmo, jelca, tanko, marna)
silka		sik	silk		x1 is a quantity of/contains/is made of silk produced by x2	(cf. curnu, bukpu, cilta)
silna			salt		x1 is a portion/quantity of salt from source x2, of composition including x3	(cf. sakta)
simlu		mlu	seem		x1 seems/appears to have property(ies) x2 to observer x3 under conditions x4	[also: x1 seems like it has x2 to x3; suggest belief/observation (= mlugau, mluti'i); looks like/resembles (= smimlu, mitmlu)]; (cf. catlu, viska, simsa, zgana, ganse, jarco)
simsa		smi	similar		x1 is similar/parallel to x2 in property/quantity x3 (ka/ni); x1 looks/appears like x2	[also: x1 is a likeness/image of x2; x1 and x2 are alike; similarity and parallel differ primarily in emphasis]; (cf. dunli, frica, mintu, panra, simlu, vrici)
simxu		sim si'u	mutual		x1 (set) has members who mutually/reciprocally x2 (event [x1 should be reflexive in 1+ sumti])	[members of x1 do to each other/one another x2, and in return do x2; x1 (plural set) do the same thing x2 to each other]; (cf. kampu, mintu)
since			snake		x1 is a snake/serpent of species/breed x2	(cf. curnu, danlu, respa, vindu)
sinma		si'a	esteem		x1 esteems/respects/venerates/highly regards x2 [object of respect]	[also: x2 is respected/esteemed/celebrated (= selsi'a for reordered places)]; (cf. banli, censa, misno, nelci, prami, salci, jgira)
sinso			sine		x1 is the trigonometric sine of angle/arcsine x2	(cf. tanjo)
sinxa		sni	sign		x1 is a sign/symbol/signal representing/referring/signifying/meaning x2 to observer x3	[also: x1 signifies x2; (adjective:) x1 is significant/meaningful/of import; signal an action (= sniti'i), connotation (= se sibyti'isni, sibyti'ismu)]; (cf. lerfu, tcita, barna, mifra, smuni)
sipna		sip	sleep		x1 is asleep (adjective); x1 sleeps/is sleeping	(cf. senva, tatpi, cikna, sanji)
sirji		sir	straight		x1 is straight/direct/line segment/interval between x2 and x3; (adjective:)  x1 is linear	(cf. korcu, linji, kruvi, kuspe)
sirxo		six	Syrian		x1 reflects Syrian culture/nationality in aspect x2	(cf. xrabo)
sisku		sis	seek		x1 seeks/searches/looks for property x2 among set x3 (complete specification of set)	[if searching for an object or an event, use tu'a in x2]; (cf. cirko, kalte, kavbu, kucli, rivbi, manci, facki)
sisti		sti	cease		x1 [agent] ceases/stops/halts/ends activity/process/state x2 [not necessarily completing it]	(cf. fanmo, mulno, cfari, denpa, fliba)
sitna		sit	cite		x1 cites/quotes/refers to/makes reference to source x2 for information/statement x3 (du'u)	(cf. krasi)
sivni		siv	private		x1 is private/personal/privy/[secret/confidential/confined] to x2; x1 is not-public/hidden	[also: x1 is secret (one sense); x2 is in the know/in touch with/privy to x1 (= selsivni for reordered places); exclusion can be expressed by na'e(bo) in x2: excluded/in the dark (= nalselsivni)]; (cf. gubni, mipri)
skaci			skirt		x1 is a skirt/kilt/dress of material x2; x1 is skirted [garment open at the bottom; not legged]	[a skirted garment may be full length (pastu), but must hang below the waist from support above or at the waist]; (cf. taxfu, palku)
skami		sam	computer		x1 is a computer for purpose x2	(cf. kanji, minji, pensi)
skapi		kap	pelt	'skin'	x1 is a pelt/skin/hide/leather from x2	(cf. pilka, calku, kerfa)
skari		ska	color		x1 is/appears to be of color/hue x2 as perceived/seen by x3 under conditions x4	[conditions may include lighting, background, etc.]; (cf. blanu, bunre, cicna, cinta, crino, grusi, narju, nukni, pelxu, xunre, zirpu, carmi, kandi, xekri, blabi)
skicu		ski	describe		x1 tells about/describes x2 (object/event/state) to audience x3 with description x4 (property)	(cf. lisri, tavla)
skiji		sij	ski		x1 is a ski/skid/skate/runner for surface (of material) x2 supporting skier/skater/sled/cargo x3	(cf. sakli, marce, cutci)
skina		kin	cinema		x1 is a cinema/movie/film about x2 [plot/theme/subject/activity], filmmaker x3, for audience x4	[also motion picture; x2 may be a convention rather than a subject; cartoon/animation (= selxraci'a skina); television/tv show (= tivyskina, regardless of length, factual content, etc.)]; (cf. tivni, vidni, pixra, finti)
skori		sko	cord		x1 is cord/cable/rope/line/twine/cordage/woven strands of material x2	(cf. cilta, jgena, marna, bikla, linsi)
skoto		kot ko'o	Scottish		x1 reflects Gaelic/Scottish culture/nationality/language in aspect x2	[Irish (= sicko'o), Scottish (= sunko'o), Celtic (= dzeko'o), Welsh (= nanko'o), Breton (= fasko'o); since Scottish/Gaelic is only the northern branch of the Celtic tribes, many would prefer a fu'ivla for Celtic; nationalism might also demand a separate fu'ivla for Irish]; (cf. brito, glico)
skuro		ku'o	groove	'furrow'	x1 is a groove/trench/furrow [shape/form] in object/surface x2	(cf. plixa)
slabu		sau	familiar		x1 is old/familiar/well-known to observer x2 in feature x3 (ka) by standard x4	[This can cover both meanings of old.  Old in years, i.e. age, can be conveyed through x2 = the world, life, existence (= loi nu zasti); in usage this has been a common default for ellipsis.  However slabu is not the opposite of 'young' (= nalci'o, tolci'o), but the opposite of 'new' (= tolni'o); also ancient (= tcesau), age (= nilsau); x2 is used to x1 (= selsau for reordered places); historic/historical (= cirsau, cirselcedra; also vaipru)]; (cf. clani, citno, cnino, se djuno; not the opposite of citno, djuno)
slaka			syllable		x1 is a syllable in language x2	(cf. sance, valsi, bangu)
slaka bu	BY*		close-comma		letteral: Lojban "," character
slami			acid		x1 is a quantity of/contains/is made of acid of composition x2; (adjective:) x1 is acidic	[x2: composition including x2, which need not be complete specification]; (cf. slari, nimre)
slanu			cylinder		x1 is a cylinder [shape/form] of material x2	(cf. kamju, gunro)
slari		sar	sour		x1 is sour/tart to observer x2	(cf. slami, titla, kurki, nimre)
slasi		las	plastic		x1 is a quantity of/is made of/contains plastic/polymer of type/component unit(s) x2	(cf. rutni, boxfo, bukpu)
sligu		lig	solid		x1 is solid, of composition/material including x2, under conditions x3	[conditions include temperature and pressure]; (cf. runta, litki, gapci, jdari, dunja, pulce, jduli)
slilu		sli	oscillate		x1 oscillates at rate/frequency x2 through set/sequence-of-states x3 (complete specification)	[also (expressible either with desku or slilu): side to side, to and fro, back and forth, reciprocal (motion), rotates, revolves]; (cf. dikni, rilti, morna, desku, janbe, boxna)
sliri			sulfur		x1 is a quantity of/contains/is made of sulfur/brimstone (S); [metaphor: foul odor, volcanic]	(cf. xukmi, panci, pelxu)
slovo		lov lo'o	Slavic		x1 reflects Slavic language/culture/ethos in aspect x2	(cf. softo, rusko, vukro)
sluji		slu	muscle		x1 is a/the muscle [body-part] controlling x2, of body x3; [metaphor: tools of physical power]	[(adjective:) x1/x2/x3 is muscular (different senses)]; (cf. rectu, xadni, zajba)
sluni			onion		x1 is a quantity of/contains onions/scallions of type/cultivar x2	(cf. stagi)
smacu			mouse		x1 is a mouse of species/breed x2	(cf. ratcu)
smadi			guess	'surmise'	x1 guesses/conjectures/surmises x2 (du'u) is true about subject x3; [epistemology]	[also: x1 has a hunch that x2 is true; x1 imagines x2 is true; words usable for epistemology typically have a du'u place]; (cf. djuno, facki, jijnu, sruma)
smaji		sma	quiet	'silent'	x1 (source) is quiet/silent/[still] at observation point x2 by standard x3	(cf. kerlo, panpi, savru, tirna)
smani			monkey	'simian'	x1 is a monkey/ape/simian/baboon/chimpanzee of species/breed x2	(cf. mabru, danlu)
smoka		smo	sock		x1 is a sock/stocking [flexible foot and lower leg garment] of material x2	(cf. cutci, taxfu)
smuci		muc	spoon		x1 is a spoon/scoop (tool) for use x2, made of material x3	(cf. dakfu, forca, tutci)
smuni		mun smu	meaning		x1 is a meaning/interpretation of x2 recognized/seen/accepted by x3	[referential meaning (=selsni, snismu)]; (cf. jimpe, sinxa, valsi, tanru, gismu, lujvo, cmavo, jufra)
snada		sad	succeed	'accomplish'	x1 [agent] succeeds in/achieves/completes/accomplishes x2 as a result of effort/attempt/try x3	[also: x1 reaches x2; (adjective:) x1 is successful; x2 (event/state/achievement)]; (cf. fliba, troci, jgira)
snanu		nan	south		x1 is to the south/southern side of x2 according to frame of reference x3	(cf. berti, stuna, stici, farna)
snidu		nid	second		x1 is x2 seconds in duration (default is 1 second) by standard x3	(cf. cacra, junla, mentu, tcika, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
snime		si'e	snow		x1 is made of/contains/is a quantity/expanse of snow	(cf. bratu, carvi, bisli)
snipa		nip	sticky		x1 adheres/sticks to x2; (adjective:) x1 is sticky/gummy/adhesive	[note that x1 is the adhering surface being claimed; x2 need not be sticky]; (cf. tarla, viknu)
snuji		nuj	sandwich		x1 is a sandwich/layering [not restricted to food] of x2 sandwiched between x3	(cf. midju, nenri, sepli, senta, jbini, bitmu, sruri)
snura		nur nu'a	secure		x1 is secure/safe from threat x2 (event)	(cf. ckape, kajde, marbi, terpa, xalni, bandu)
snuti		nut	accidental		x1 (event/state) is an accident/unintentional on the part of x2; x1 is an accident	(cf. zukte, cunso)
so	PA1	soz	9		digit/number: 9 (digit) [nine]
so'a	PA4	soj	almost all		digit/number: almost all (digit/number)
so'e	PA4	sop	most		digit/number: most
so'eroi	ROI*		usually		tense interval modifier: usually; objectively quantified tense; defaults as time tense
so'i	PA4	sor so'i	many		digit/number: many
so'imei	MOI*		is a bunch		quantified selbri: convert many to cardinal; x1 is a set with many members x2 of total set x3
so'iroi	ROI*		many times		tense interval modifier: many times; objective tense; defaults as time tense
so'o	PA4	sos	several		digit/number: several
so'u	PA4	sot	few		digit/number: few
so'uroi	ROI*		a few times		tense interval modifier: a few times; objective tense; defaults as time tense
sobde		sob so'e	soya		x1 is a quantity of soya [grain/bean] of species/strain x2	(cf. dembi, gurni)
sodna			sodium		x1 is a quantity of/contains/is made of alkali metal of type x2 [default sodium]	[also potassium, lithium, cesium]; [soda] (cf. jilka, jinme)
sodva		sod	soda		x1 is made of/contains/is a quantity of a carbonated beverage/soda of flavor/brand x2	[also: soft drink (though this sometimes includes tea and coffee as distinct from alcoholic beverages which are "hard drinks")]; (cf. jilka, jinme)
softo		sof	Soviet		x1 reflects Russian empire/USSR/ex-USSR (Soviet]/CIS culture/nationality in aspect x2	(cf. rusko, vukro, slovo)
soi	SOI		reciprocal sumti		discursive: reciprocal sumti marker; indicates a reciprocal relationship between sumti
solji		slo	gold		x1 is a quantity of/contains/is made of gold (Au); [metaphor: valuable, heavy, non-reactive]	(cf. ricfu, rijno, narju, pelxu)
solri		sol	solar		x1 is the sun of home planet x2 (default Earth) of race x3; (adjective:) x1 is solar	['home planet' refers to a planet which is "home" to a race, but not necessarily the original "home" of a species if that species inhabits many worlds]; (cf. gusni, lunra, mluni, plini, santa, terdi, tarci)
sombo		som so'o	sow		x1 sows/plants x2 [crop/plants] at/in x3	(cf. crepu, tsiju)
sonci		son soi	soldier		x1 is a soldier/warrior/fighter of army x2	(cf. bilni, damba, jenmi, xarci, pulji)
sorcu		soc sro	store		x1 is a store/deposit/supply/reserve of materials/energy x2 in containment x3	[x3 need not be a container, but could merely be a site/location restriction; e.g. a heap.  The sumti indicates how the supply is identified and distinguished from other occurrences of the stored x2 that are not part of the store]; (cf. panka; vreji for information storage; sabji for a store or reserve that is not necessarily tied to a site, banxa, panka)
sorgu		sog	sorghum		x1 is a quantity of sorghum of species/strain x2	(cf. gurni)
sovda		sov so'a	egg	'ovum'	x1 is an egg/ovum/sperm/pollen/gamete of/from organism [mother/father] x2	[(poorly metaphorical only due to gender- and species- being unspecified): ovoid, oblate (= pevyso'aseltai, but better: claboi); egg, specifically female (= fetso'a), of a bird (= cpifetso'a, cpiso'a), of a chicken (= jipcyfetso'a, jipcyso'a] (but note that Lojban does not require specificity, just as English doesn't for either milk or eggs; "sovda" is fine for most contexts); [if fertilized, then tsiju or tarbi]; (cf. ganti, gutra, mamta, patfu, rorci, tsiju, lanbi, tarbi; also djine, konju for shape, tarbi)
spaji		paj	surprise		x1 (event/action abstract) surprises/startles/is unexpected [and generally sudden] to x2	[also expectation (= nalspaji), alarm (= tepspaji)]; (cf. manci, jenca, bredi, suksa)
spali			polish		x1 (agent) polishes object/surface x2 with polish x3, applied using tool x4	(cf. mosra, sraku, xutla)
spano		san	Spanish		x1 reflects Spanish-speaking culture/nationality/language in aspect x2	[metaphorical restriction to Spain by contrast with xispo (comparable to the distinction between glico and merko/sralo/brito/kadno); Spain (= sangu'e); Spanish dialects spoken in Spain, especially Castillian (= sansanbau)]; (cf. xispo, ketco, mexno, gento)
spati		spa	plant		x1 is a plant/herb/greenery of species/strain/cultivar x2	[also (adjective:) x1 is vegetable/vegetal/vegetative]; (cf. genja, grute, gurni, latna, rozgu, stagi, tricu, tsiju, tujli, xruba, xrula, pezli, srasu)
speni		spe	married	'spouse'	x1 is married to x2; x1 is a spouse of x2 under law/custom/tradition/system/convention x3	(cf. prami, gletu)
spisa		spi	piece		x1 [object/substance] is a piece/portion/lump/chunk/particle of x2 [substance]	(cf. pagbu)
spita			hospital		x1 is a hospital treating patient(s) x2 for condition/injuries/disease/illness x3	[hospice (a place where x2 of spita is lenu mrobi'o = mrospita)]; (cf. bilma, mikce)
spofu		pof po'u	broken		x1 is broken/inoperable/broken down/non-utile/not usable for function x2	[agentive break, cause to become inoperable (= pofygau, pofyzu'e); accidentally break, as a result of an event, non-agentive (= pofyja'e, nutpo'uja'e)]; (cf. daspo, katna, porpi, se xrani, cikre)
spoja		poj po'a	explode		x1 bursts/explodes/violently breaks up/decomposes/combusts into pieces/energy/fragments x2	(cf. cecla, jakne, jbama)
spuda		spu	reply	'respond'	x1 answers/replies to/responds to person/object/event/situation/stimulus x2 with response x3	[x3 also answer/reply]; [if x2 is a person/object, it will usually require "tu'a" indicating that the reply/response is to that person/object doing something.  "tu'a" may not be needed if the person/object itself is the stimulus, rather than something it is doing];(cf. cusku, preti, nabmi, danfu, frati, cpedu)
sputu		put pu'u	spit		x1 spits/expectorates x2 [predominantly liquid] from x3 to/onto x4	[saliva/spit/sputum/spittle (= molselpu'u)]; (cf. jetce, kafke, vamtu)
sraji		raj	vertical	'upright'	x1 is vertical/upright/erect/plumb/oriented straight up and down in reference frame/gravity x2	(cf. sanli, pinta)
sraku		rak	scratch		x1 [abrasive/cutting/scratching object/implement] scratches/[carves]/erodes/cuts [into] x2	(cf. guska, katna, mosra, plixa, kakpa (unlike kakpa, sraku does not imply material is removed), spali)
sralo			Australian		x1 reflects Australian culture/nationality/geography/dialect in aspect x2	(cf. glico)
srana		ra'a	pertain	'concerns'	x1 pertains to/is germane/relevant to/concerns/is related/associated with/is about x2	[also: x1 is a question of/treats of x2; can be symmetric, although x1 is conventionally more specific or constrained in scope than x2]; (cf. cmavo list ra'a, ckini, ponse, steci)
srasu		sas	grass		x1 is a blade/expanse of grass of species x2	[lawn/meadow (= sasfoi)]; (cf. spati)
srera		sre	err		x1 errs in doing/being/making mistake x2 (event), an error under conditions x3 by standard x4	(cf. drani, which is non-agentive, cfila, fliba)
srito			Sanskrit		x1 reflects Sanskrit language/Sanskritic/Vedic culture/nationality in aspect x2	(cf. xindo, xurdo)
sruma		ru'a	assume		x1 assumes/supposes that x2 (du'u) is true about subject x3; [epistemology]	[words usable for epistemology typically have a du'u place]; (cf. smadi, birti)
sruri		rur sru	surround		x1 encircles/encloses/is surrounding x2 in direction(s)/dimension(s)/plane x3	[(jinsru =) x1 is a ring/belt/band/girdle around/circling/ringing x2 near total containment in some dimension(s)]; (cf. karli, senta, snuji, vanbi, se nenri, se jbini, bartu, djine)
stace		sac	honest		x1 is honest/open/truthfully revealing to/candid/frank with x2 about matter/fact x3	[also straight, straight-forward]; (cf. tcica, jetnu, jitfa, mipri)
stagi			vegetable	'stalky'	x1 is the edible x2 portion of plant x3; x1 is a vegetable	[note that fruits and nuts are also vegetables; generally this word will be used for either the general category of edible plants, or for non-fruit vegetables (= nalrutstagi)]; (cf. grute, kobli, narge, sluni, spati, sunga, tamca)
staku		tak	ceramic		x1 is a quantity of/contains/is made of ceramic made by x2, of composition x3, in form/shape x4	[made of baked clay or other non-metallic solid; x3: composition including x3, which need not be complete specification]; (cf. kliti)
stali		sta	remain	'stay'	x1 remains/stays at/abides/lasts with x2	(cf. vitno, zasni, ralte, stodi, xabju, stuzi, renvi)
stani			stalk		x1 is a/the stalk/stem/trunk [body-part] of plant/species x2; [metaphor: main support]	(cf. tuple, mudri)
stapa		tap	step		x1 steps/treads on/in surface x2 using limbs x3	(cf. bajra, plipe, cadzu, serti)
stasu			soup	'stew'	x1 is a quantity of soup/stew/olla/olio [food] of ingredients including x2	[x2 is in x1, an ingredient/part/component of x1]; (cf. sanmi, mixre, salta, sanso)
stati			talent		x1 has a talent/aptitude/innate skill for doing/being x2	(cf. jinzi, certu, rarna, larcu, kakne)
steba		seb	frustration		x1 feels frustration about x2 (abstraction)	(cf. cinmo)
steci		tec te'i	specific	'special'	x1 (ka) is specific/particular/specialized/[special]/a defining property of x2 among x3 (set)	[x2 are members/individuals of a subset of x3; object whose association is specific/defining of a subset or individuals (= tecra'a, also cf. cmavo list po'e, [x2 is also special to x1]); also: especially/strongly/specifically associated]; (x3 is completely specified set)]; (cf. srana, se ponse, ckini, tcila, tutra)
stedu		sed	head		x1 is a/the head [body-part] of x2; [metaphor: uppermost portion]	[skull (= sedbo'u)]; (cf. drudi, mebri, xedja, besna, flira, mapku)
stela		tel	lock		x1 is a lock/seal of/on/for sealing x2 with/by locking mechanism x3	(cf. ckiku)
stero		te'o	steradian		x1 is x2 steradian(s) [metric unit] in solid angle (default is 1) by standard x3	(cf. centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
stici		sic	west		x1 is to the west/western side of x2 according to frame of reference x3	(cf. stuna, berti, snanu, farna)
stidi		sid ti'i	suggest		x1 (agent) suggests/proposes idea/action x2 to audience x3; x1 (event) inspires x2 in/among x3	[event which inspires/suggests/is suggestive (= faurti'i, sidyfau)]; (cf. cmavo list ti'i, tcica, xlura)
stika		tik	adjust		x1 (event) adjusts/regulates/changes x2 (ka/ni) in amount/degree x3	[non-resultative, causal change; agentive adjust (= tikygau, tikyzu'e)]; (cf. cenba which need not be causal, galfi which is causal and resultative, binxo which need not be causal but is resultative, zasni, stodi)
stizu		tiz	chair	'stool'	x1 is a chair/stool/seat/bench, a piece or portion of a piece of furniture intended for sitting	(cf. nilce, zutse, jubme, ckana)
stodi		sto	constant	'stable'	x1 is constant/invariant/unchanging in property x2 (ka) in response to stimulus/conditions x3	[also stable/consistent/steadfast/firm/steady]; (cf. cenba, stika, stali, vitno, manfo, zasni, tinsa, jdari)
stuna		sun	east		x1 is to the east/eastern side of x2 according to frame of reference x3	(cf. stici, berti, snanu, farna)
stura		tur su'a	structure		x1 is a structure/arrangement/organization of x2 [set/system/complexity]	(x2, if a set, is completely specified); (cf. ganzu, morna, ciste, lujvo, greku, gerna)
stuzi		tuz stu	site	'position'	x1 is an inherent/inalienable site/place/position/situation/spot/location of x2 (object/event)	[generally used for normally stationary objects/events, to give their 'permanent' location]; (cf. cmavo list tu'i, jmive, diklo, zvati, tcini, xabju, jibni, judri, lamji, mokca, stali)
su	SU		erase discourse		erase to start of discourse or text; drop subject or start over
su'a	UI2		I generalize		evidential: I generalize - I particularize; discursive: abstractly - concretely	(cf. sucta, sucni'i)
su'anai	UI*2		I particularize		evidential: I generalize - I particularize; discursive: abstractly - concretely
su'e	PA4	sup su'e	at most		digit/number: at most (all); no more than
su'i	VUhU1		plus		n-ary mathematical operator: plus; addition operator; [(((a + b) + c) + ...)]
su'o	PA4	suz su'o	at least		digit/number: at least (some); no less than	(cf. cmalu, mleca)
su'oremei	MOI*		is plural		quantified selbri: convert at least 2 to cardinal selbri; x1 is a set with plural membership x2
su'oremoi	MOI*		is at least second		quantified selbri: convert at least 2 to ordinal selbri; x1 is at-least-2nd among x2 by rule x3
su'u	NU	suv	unspecif abstract		abstractor: generalized abstractor (how); x1 is [bridi] as a non-specific abstraction of type x2	(cf. sucta)
sucta		suc	abstract		x1 (si'o) is abstracted/generalized/idealized from x2 [something concrete] by rules x3	(cf. fatci, xanri)
sudga		sud	dry		x1 is dry of liquid x2; (adjective:) x1 is arid	(cf. cilmo, litki, runta)
sufti		sfu	hoof		x1 is a/the hoof [body-part] of x2	(cf. xirma)
suksa		suk	sudden		x1 (event/state) is sudden/sharply changes at stage/point x2 in process/property/function x3	[also abrupt, discontinuous]; (cf. spaji, vitci, vlile)
sumji		suj	sum		x1 is a mathematical sum/result/total of x2 plus/increased by x3	(cf. jmina, jalge, mulno, pilji)
sumne			smell		x1 (experiencer) smells/scents (transitive verb) x2; x2 smells/has odor/scent to observer x1	(cf. nazbi, panci, cpina, ganse, zgana)
sumti		sum su'i	argument		x1 is a/the argument of predicate/function x2 filling place x3 (kind/number)	(x1 and x2 are text); (cf. bridi, darlu, gismu)
sunga		sug	garlic		x1 is a quantity of garlic [bulb] of species/strain x2	(cf. stagi)
sunla		sul	wool		x1 is a quantity of/made from/consists of wool [tight curly hair] from animal/species/source x2	(cf. kosta, kumte, lanme, kanba, bukpu, kerfa)
surla		sur	relax		x1 relaxes/rests/is at ease in/by doing/being x2 (activity)	(cf. dunku, tatpi, cando, vreta)
sutra		sut	fast	'swift'	x1 is fast/swift/quick/hastes/rapid at doing/being/bringing about x2 (event/state)	(cf. masno)
sy	BY2		s		letteral for s
ta	KOhA6	taz	that there		pro-sumti: that there; nearby demonstrative it; indicated thing/place near listener
ta'a	COI		interruption		vocative: interruption
ta'e	TAhE		habitually		tense interval modifier: habitually; subjective tense/modal; defaults as time tense
ta'enai	TAhE*		non-habitually		tense interval modifier: non-habitually; subjective tense/modal; defaults as time tense
ta'i	BAI		by method		tadji modal, 1st place (in manner 3)              methodically; by method ...
ta'i ma	BAI*		by what method?		sumti question asking for a method; how?
ta'o	UI3		by the way		discursive: by the way - returning to main point	(cf. denpa, cneterta'a)
ta'onai	UI*3		return to main point		discursive: by the way - returning to main point
ta'u	UI3a		making a tanru		discursive: making a tanru - expanding the tanru	(cf. tanru)
ta'unai	UI*3a		expanding the tanru		discursive: making a tanru - expanding the tanru
tabno		tab	carbon		x1 is a quantity of/contains/is made of carbon/graphite/[diamond]/charcoal; x1 is organic	(cf. kolme)
tabra			trumpet	'brass'	x1 is a horn/trumpet/trombone/bugle [brass-wind/lip-reed musical instrument]	(cf. zgike)
